               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.9181,              37.346,              10.501,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0811,              0.0021,              0.0021
                   1,              5.7899,              35.684,              9.6675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.061257,           0.0042574,           0.0042574
                   2,              6.0653,               32.98,              9.9417,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041371,           0.0063713,           0.0063713
                   3,              5.4822,              33.024,              9.1482,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.021442,           0.0084416,           0.0084416
                   4,              5.3077,              30.754,              8.2524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   5,              5.8351,              30.365,              8.7958,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              5.8011,              22.323,              7.6095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              5.7414,              33.133,              8.1323,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              5.7197,              20.449,              7.9924,             0.03484,             0.10526,           0.0076054,           0.0016638,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              5.8586,              25.932,              7.4898,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              5.4307,              22.352,              6.7745,            0.070686,             0.18421,            0.021664,           0.0041573,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              5.0254,              21.569,              6.8785,            0.087446,             0.18421,            0.047665,            0.012042,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              5.4529,              20.043,              6.1609,            0.065109,             0.23684,            0.021453,           0.0043903,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              5.1146,              18.409,              5.9503,             0.04388,                 0.5,              0.0335,           0.0077272,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              4.7561,              14.709,              5.7907,            0.089111,             0.42105,            0.082754,            0.014865,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              4.9735,              15.458,                5.44,          0.00058073,            0.026316,           0.0001028,           2.056e-05,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,               4.685,              20.056,              5.1982,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              4.8744,              21.894,              4.9451,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              4.7574,              14.957,              4.8247,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,               4.242,              10.482,              4.5811,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              3.8793,              9.9213,              4.3538,          0.00083333,             0.13158,          0.00047668,          0.00019786,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               3.577,              9.2496,              4.2342,              0.0055,             0.86842,             0.03949,            0.013049,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
